Jurisdiction of Occurrence,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),COVID-19 
Vermont,129,,29,,11,,,,,,27,,
Vermont,129,,29,,,,,,0,0,33,,11
Vermont,139,,26,,,,,,,,35,,16
Vermont,144,,33,,,,,,0,0,30,,19
Vermont,103,,21,,,,,,,,24,,
Vermont,140,,28,,11,,,,0,0,34,,19
Vermont,104,,18,,,,,0,,,27,,
Vermont,136,,29,,,,,0,,0,28,,20
Vermont,133,0,17,,,,,,,,33,,21
Vermont,165,,35,,,0,,,,,48,12,21
Vermont,145,0,34,,13,,,,,,34,,18
Vermont,121,0,36,,,,,,0,,25,,12
Vermont,131,,37,,,0,,,,,27,,19
Vermont,117,0,33,,,,,,0,0,32,,10
Vermont,123,0,34,,,,,,0,,32,,10
Vermont,111,0,27,,,0,,,,,34,,
Vermont,118,0,26,,,0,,,0,,35,,
Vermont,109,0,24,,,,,,0,0,30,,
Vermont,108,,29,,,0,,,0,,34,,
Vermont,95,0,25,,,0,,,0,0,28,,
Vermont,105,0,21,,,,,,0,,34,,
Vermont,112,0,20,,,0,,,,,35,,
Vermont,108,0,30,,,,,,0,0,29,,10
Vermont,136,,29,,10,,,0,,,37,,
Vermont,117,0,38,,,,,,0,,25,,10
Vermont,99,0,27,,,,,,0,0,23,,
Vermont,100,0,25,,,0,,0,,,25,,
Vermont,120,0,22,,,,,,,,34,,
Vermont,123,0,35,,,0,10,,0,,30,,
Vermont,97,,19,,,,,,0,0,22,,
Vermont,127,,42,,,,,,,,36,,
Vermont,101,0,28,,,0,,,,0,24,,
Vermont,97,0,33,,,0,,,,,23,,
Vermont,100,0,26,,,,,,,0,27,,
Vermont,105,,27,,,0,,,0,,30,,
Vermont,116,,13,,,,,,0,,37,,
Vermont,101,0,35,,,0,,,0,0,23,0,
Vermont,113,0,36,,,0,,,,,24,,
Vermont,83,0,15,,,0,,0,0,0,23,,
Vermont,120,0,22,,,0,,,0,0,38,,
Vermont,74,0,23,,,0,,0,0,,21,,
Vermont,119,,26,,10,0,,,,,24,,
Vermont,107,,26,,11,0,,0,0,0,27,,
Vermont,105,,27,,,,,,,,26,,
Vermont,98,0,22,,,0,,,0,0,24,,
Vermont,103,0,32,,,,,,0,,21,,
Vermont,114,0,37,,,0,,0,,0,21,,
Vermont,120,,30,,,,,,0,0,37,,
Vermont,123,,33,,11,,,,0,0,26,,13
Vermont,139,,27,,,0,,,0,,37,,
Vermont,107,0,22,,,,,,,0,28,,
Vermont,116,0,28,,,0,,0,,,29,,
Vermont,117,0,25,,,0,,,0,0,38,,
Vermont,147,0,35,,,,,,0,,46,,
Vermont,106,,25,,,,,,,,23,,
Vermont,106,,23,,,,,,0,,29,,
Vermont,126,0,30,,,12,,,0,,32,,
Vermont,118,,24,,,,10,0,0,0,28,,
Vermont,126,0,29,,,,10,,,,37,,
Vermont,136,0,29,,11,,,,0,,40,,
Vermont,130,0,33,,,,,,,,30,,
Vermont,92,,26,,,,,,,,21,,
Vermont,125,0,20,,,,,0,,,35,,
Vermont,93,,18,,,,,,,,22,,
Vermont,114,0,25,,,0,,,0,,30,,12
Vermont,133,0,27,,,,,,,13,27,,
Vermont,115,0,24,,,,11,,0,,33,,
Vermont,141,,28,,,,12,0,,19,34,,
Vermont,115,,25,,,,,,0,,27,,
Vermont,104,0,30,,,,,,0,,21,,0
Vermont,90,,19,,,,,,0,,23,,
Virginia,1314,24,292,46,50,30,80,22,36,17,299,81,0
Virginia,1425,22,344,59,54,32,96,35,45,12,293,72,0
Virginia,1343,24,304,41,66,26,75,25,37,20,311,72,0
Virginia,1340,21,298,44,51,34,65,32,40,16,311,78,0
Virginia,1350,20,297,59,70,28,61,24,34,15,315,85,0
Virginia,1421,15,336,61,65,24,72,37,41,14,332,80,0
Virginia,1289,17,284,39,62,23,89,34,27,11,291,79,0
Virginia,1316,21,277,56,51,29,80,29,32,13,322,72,0
Virginia,1279,15,286,47,55,30,74,24,33,22,286,70,0
Virginia,1364,17,291,48,59,29,83,30,38,15,324,91,0
Virginia,1331,15,300,46,59,34,77,26,31,14,316,95,
Virginia,1348,22,298,45,42,30,69,21,33,22,335,81,
Virginia,1404,20,325,51,53,49,88,25,32,15,305,66,28
Virginia,1358,15,268,61,62,39,78,26,16,18,280,81,67
Virginia,1507,20,295,50,66,35,71,26,38,10,335,76,115
Virginia,1480,23,275,52,57,29,68,31,25,20,285,71,196
Virginia,1511,17,291,44,57,18,54,30,34,17,299,74,222
Virginia,1543,22,292,47,58,20,73,26,27,13,289,80,251
Virginia,1467,,260,55,71,17,77,23,38,12,296,76,238
Virginia,1443,13,280,71,59,17,66,18,39,11,293,74,200
Virginia,1334,18,288,38,55,11,65,15,28,,272,60,170
Virginia,1327,18,266,43,52,13,63,19,28,17,265,75,160
Virginia,1287,14,278,48,50,17,53,31,21,,281,69,105
Virginia,1297,11,289,44,47,18,70,17,29,12,280,73,110
Virginia,1180,17,264,43,40,17,43,20,32,13,253,72,88
Virginia,1319,21,296,51,50,13,56,19,29,19,287,69,79
Virginia,1264,21,276,51,53,19,51,27,23,11,305,77,56
Virginia,1345,18,294,54,55,19,63,20,26,16,315,67,66
Virginia,1270,19,289,41,48,22,67,17,32,12,276,69,97
Virginia,1321,22,308,48,40,11,53,21,28,,309,73,90
Virginia,1317,20,296,42,53,19,64,16,24,11,258,87,106
Virginia,1359,18,308,47,42,18,57,23,18,12,285,81,91
Virginia,1348,17,289,45,56,20,55,21,37,10,320,73,102
Virginia,1337,17,311,54,47,,60,23,36,10,287,69,125
Virginia,1329,13,277,45,50,23,61,25,32,20,284,73,111
Virginia,1333,25,259,35,63,22,55,26,31,10,318,69,123
Virginia,1333,12,283,43,46,13,52,27,20,18,270,89,118
Virginia,1328,20,297,47,47,12,56,21,29,,283,76,118
Virginia,1356,18,317,45,56,13,52,21,32,12,282,76,90
Virginia,1381,18,302,67,67,22,60,21,34,13,289,78,93
Virginia,1346,23,289,41,44,15,52,15,32,13,312,79,96
Virginia,1316,21,277,47,60,16,62,18,30,17,273,73,104
Virginia,1364,17,331,36,52,13,47,21,29,14,282,74,121
Virginia,1417,23,297,45,43,22,68,23,26,11,309,73,124
Virginia,1514,18,310,70,60,30,68,28,33,13,309,76,134
Virginia,1393,18,286,47,58,14,62,25,30,16,306,81,136
Virginia,1493,15,308,41,49,18,62,16,30,10,334,89,187
Virginia,1454,14,263,59,59,18,62,21,34,15,270,86,221
Virginia,1516,22,265,53,54,21,58,29,29,13,309,73,241
Virginia,1647,23,268,65,62,18,75,31,31,14,314,94,307
Virginia,1750,21,302,63,49,19,76,40,35,,329,79,364
Virginia,1768,17,296,62,59,23,55,29,34,19,304,90,384
Virginia,1873,26,291,54,64,27,65,27,37,14,318,89,453
Virginia,1883,12,296,48,84,22,64,34,29,18,311,98,516
Virginia,1912,16,315,77,52,28,48,27,27,10,332,85,551
Virginia,1998,17,304,56,73,18,63,30,40,18,380,108,552
Virginia,1835,27,291,57,65,19,48,28,34,11,323,82,499
Virginia,1885,24,314,61,56,15,59,30,47,16,360,97,438
Virginia,1665,28,330,49,61,29,54,19,35,12,309,72,341
Virginia,1617,19,311,57,56,22,55,28,30,15,331,76,279
Virginia,1568,23,301,44,68,17,57,25,32,11,289,90,232
Virginia,1446,14,282,50,56,17,62,30,35,15,317,94,153
Virginia,1408,19,300,38,46,12,61,32,24,13,327,79,147
Virginia,1391,21,298,47,45,10,52,22,29,24,304,69,135
Virginia,1373,15,297,38,34,16,69,18,32,15,298,72,124
Virginia,1245,16,270,48,47,16,66,23,25,14,251,61,93
Virginia,1405,21,293,49,44,17,48,22,23,,350,66,121
Virginia,1288,16,267,58,44,12,64,15,21,25,300,89,105
Virginia,1344,,261,59,44,16,72,32,29,14,320,77,119
Virginia,1353,15,299,35,44,14,56,18,24,,310,78,121
Virginia,1334,16,303,46,49,19,50,27,23,15,312,80,95
Virginia,1349,26,291,46,30,14,57,29,27,12,307,73,86
Virginia,1251,14,282,45,47,,61,27,27,18,279,79,74
Virginia,1303,23,302,43,45,14,60,19,24,10,304,76,56
Virginia,1260,16,294,45,39,15,51,24,35,11,294,66,47
Virginia,1252,22,280,37,50,15,66,18,30,,295,63,42
Virginia,1197,20,296,47,48,,58,21,28,14,291,58,34
Virginia,1245,16,284,51,45,15,42,25,24,15,273,80,37
Virginia,1274,19,287,55,37,23,62,20,32,21,286,72,25
Virginia,1218,20,294,50,41,20,60,35,24,16,287,60,22
Virginia,1282,21,318,45,44,,64,27,27,17,326,78,25
Virginia,1236,17,297,34,42,15,49,18,27,22,278,71,17
Virginia,1351,22,328,36,51,14,68,30,36,16,310,77,45
Virginia,1356,16,299,54,38,17,64,20,21,,314,84,58
Virginia,1421,18,289,50,53,14,76,19,23,19,326,80,84
Virginia,1467,20,316,51,48,17,65,23,32,10,310,79,145
Virginia,1476,23,300,46,54,20,61,27,32,19,321,73,189
Virginia,1520,20,300,47,36,19,65,30,43,10,304,84,214
Virginia,1528,26,294,44,52,19,62,25,33,19,306,65,245
Virginia,1629,20,297,57,55,14,60,23,44,20,314,66,307
Virginia,1590,20,301,51,62,17,58,21,29,10,297,71,328
Virginia,1653,18,303,51,57,20,69,17,31,16,335,66,331
Virginia,1693,29,302,64,35,24,63,33,33,15,336,84,274
Virginia,1570,14,292,50,39,22,64,28,40,10,343,79,247
Virginia,1534,26,289,48,46,12,74,36,36,,303,86,225
Virginia,1556,31,312,60,46,25,60,22,40,12,307,71,196
Virginia,1549,16,277,55,39,23,64,32,41,16,341,79,173
Virginia,1587,24,335,59,65,10,65,27,32,17,345,89,133
Virginia,1452,18,290,52,46,23,54,26,35,12,340,82,130
Virginia,1509,32,325,52,47,23,62,28,27,,347,75,132
Virginia,1588,19,307,49,45,19,58,25,36,10,379,89,143
Virginia,1628,26,308,62,54,26,64,27,35,11,368,79,195
Virginia,1603,27,348,67,53,19,74,27,30,,330,89,206
Virginia,1606,24,295,58,56,24,72,30,35,13,338,76,217
Virginia,1688,28,294,66,47,21,66,24,40,16,341,86,270
Virginia,1876,25,307,77,56,34,94,36,38,20,367,96,383
Virginia,2050,32,313,69,63,32,61,34,37,16,379,107,500
Virginia,2044,33,337,77,51,20,72,29,53,24,370,93,546
Virginia,2012,20,303,69,63,18,64,33,29,20,434,98,513
Virginia,1891,22,330,77,62,20,46,33,24,15,378,78,462
Virginia,1708,18,302,64,41,24,67,22,43,18,328,73,356
Virginia,1589,26,312,52,57,22,41,19,45,13,320,91,277
Virginia,1488,18,279,52,45,26,62,25,31,19,321,83,212
Virginia,1451,34,304,57,39,15,71,24,38,14,322,87,146
Virginia,1382,21,282,54,39,14,55,20,44,11,322,84,111
Virginia,1404,19,295,52,44,17,71,28,34,13,321,86,74
Virginia,1349,22,289,49,53,18,61,24,27,15,306,71,76
Virginia,1307,12,274,50,50,13,55,23,22,17,316,74,47
Virginia,1280,20,263,49,49,15,66,24,35,18,300,87,37
Virginia,1356,17,314,79,39,10,68,19,26,11,327,73,36
Virginia,1275,16,292,47,48,18,61,20,30,11,283,61,31
Virginia,1320,20,300,71,41,21,54,29,29,14,316,66,29
Virginia,1308,20,318,55,40,16,60,22,36,,295,73,27
Virginia,1282,20,301,37,43,11,55,20,30,15,294,78,44
Virginia,1318,24,277,48,28,25,58,18,39,13,322,82,32
Virginia,1302,16,291,43,47,12,51,25,29,15,321,69,60
Virginia,1368,20,335,64,44,14,61,22,26,22,295,76,51
Virginia,1308,15,290,51,33,12,64,31,30,21,317,68,60
Virginia,1264,17,275,48,43,16,48,24,31,11,301,67,52
Virginia,1375,13,300,51,49,18,74,26,38,23,306,88,69
Virginia,1277,25,288,47,41,17,55,20,31,13,281,67,49
Virginia,1193,13,260,49,39,20,53,26,29,14,290,83,55
Virginia,1402,21,312,49,44,,53,20,37,16,324,93,70
Virginia,1439,20,303,62,51,20,58,33,23,15,337,87,75
Virginia,1325,20,270,50,50,,45,35,32,17,323,80,76
Virginia,1370,18,311,37,36,24,51,19,36,17,301,70,74
Virginia,1330,19,311,52,53,,60,27,29,16,289,81,76
Virginia,1336,17,314,50,54,11,57,26,36,,300,83,87
Virginia,1374,15,296,42,44,15,57,18,36,18,328,78,77
Virginia,1303,16,298,50,43,12,45,13,23,18,301,80,88
Virginia,1331,17,298,50,38,25,68,25,27,27,299,59,66
Virginia,1322,23,332,51,60,19,56,19,31,16,291,72,78
Virginia,1385,19,309,48,51,13,61,30,27,13,310,79,60
Virginia,1392,19,293,55,42,22,61,26,38,23,312,82,61
Virginia,1392,23,281,61,48,16,69,29,26,23,317,92,59
Virginia,1375,18,310,43,47,18,83,25,25,14,320,95,60
Virginia,1306,11,271,44,44,28,60,24,33,35,299,73,46
Virginia,1401,24,309,51,48,20,49,28,28,39,330,93,46
Virginia,1381,33,309,50,57,18,55,21,24,31,284,86,52
Virginia,1424,20,288,47,50,14,67,28,33,44,325,83,51
Virginia,1388,21,281,53,49,24,72,28,39,46,315,84,45
Virginia,1532,23,337,57,64,25,82,23,33,54,307,108,43
Virginia,1438,19,307,46,58,31,61,16,27,40,345,93,38
Virginia,1523,14,305,55,51,43,75,36,30,48,356,96,58
Virginia,1591,22,354,64,68,34,64,34,39,59,342,83,73
Virginia,1506,16,299,72,48,32,64,32,34,70,328,86,71
Virginia,1624,34,315,60,71,37,78,34,24,74,381,89,86
Virginia,1637,20,299,63,48,33,84,27,39,98,339,84,116
Virginia,1578,17,321,44,43,31,76,31,30,82,321,85,111
Virginia,1517,14,279,48,53,22,84,31,21,90,323,75,101
Virginia,1496,16,273,55,49,19,72,32,37,95,331,95,85
Virginia,1583,22,315,56,54,14,71,34,34,107,329,95,104
Virginia,1909,28,360,42,78,25,93,35,43,108,430,127,78
Virginia,1588,18,323,57,55,23,76,31,31,95,338,110,69
Virginia,1485,20,297,57,44,12,80,34,33,98,311,98,59
Virginia,1365,34,282,39,36,15,59,27,27,93,275,84,36
Virginia,1391,18,308,57,39,17,59,22,24,93,298,78,48
Virginia,1398,14,285,58,34,17,50,34,41,90,293,87,30
Virginia,1248,17,296,45,36,14,51,21,29,70,267,72,30
Virginia,1020,13,211,26,42,15,50,21,18,70,233,47,18
Washington,1069,13,223,34,68,30,63,24,,,245,62,0
Washington,1143,17,267,46,83,31,67,18,13,11,260,48,0
Washington,1107,12,259,44,81,24,62,19,,,225,73,0
Washington,1086,14,252,33,65,20,64,15,,,272,59,0
Washington,1104,15,268,41,62,20,60,22,,12,262,60,0
Washington,1074,,230,42,62,26,70,14,,11,245,78,0
Washington,1079,,245,41,80,32,62,20,,13,235,63,0
Washington,1021,11,250,27,87,19,55,11,,,228,60,0
Washington,1046,15,240,39,73,23,62,15,14,10,214,65,
Washington,1094,10,238,43,60,30,67,15,12,10,261,63,21
Washington,1058,12,220,38,71,29,65,25,,10,239,52,28
Washington,1124,16,221,29,82,40,60,25,12,,245,68,65
Washington,1197,11,236,45,77,26,61,11,,13,236,70,126
Washington,1194,19,211,40,67,25,64,16,,11,236,61,160
Washington,1193,11,245,47,76,13,60,18,,18,247,44,149
Washington,1116,15,220,46,73,22,46,20,,10,219,63,125
Washington,1118,12,248,46,72,12,46,,11,,234,66,108
Washington,1058,16,260,31,63,15,54,,10,,185,62,80
Washington,1091,,246,41,78,15,58,19,,12,240,47,88
Washington,1014,11,243,28,59,13,51,11,,,209,59,71
Washington,993,11,236,47,53,,34,11,11,,227,60,49
Washington,943,,228,23,61,,47,14,,14,223,49,37
Washington,922,,203,35,61,,58,15,10,11,190,48,35
Washington,978,,220,34,65,,45,,,,235,57,44
Washington,1022,,248,48,63,,56,18,,,214,60,31
Washington,970,14,231,28,72,11,44,11,,,216,62,41
Washington,1007,14,235,28,73,,46,14,,11,223,60,44
Washington,1046,,244,43,72,10,44,13,,10,217,55,58
Washington,1062,14,251,41,65,,51,16,,10,209,70,51
Washington,1058,12,245,37,76,,49,,,14,199,61,77
Washington,1090,15,269,42,73,11,50,12,,11,214,45,92
Washington,1117,16,254,40,71,,47,13,14,13,219,67,85
Washington,1040,17,249,39,66,10,33,17,,11,210,58,77
Washington,1065,12,255,38,80,,45,13,,10,220,60,52
Washington,991,10,259,42,54,,39,,12,,197,52,46
Washington,1095,11,278,27,78,12,52,11,,12,223,54,42
Washington,1041,10,275,43,75,,53,,,,218,45,31
Washington,1066,,242,36,75,10,49,15,12,14,249,45,44
Washington,1046,11,248,31,61,,41,12,,,238,62,49
Washington,1021,10,253,35,56,14,40,10,,12,219,53,49
Washington,1052,10,248,35,78,14,48,16,10,13,222,57,39
Washington,1039,17,249,48,71,10,46,16,10,10,207,57,44
Washington,1107,13,255,42,70,12,42,18,,17,247,69,68
Washington,1085,16,253,52,59,,52,16,10,,214,56,71
Washington,1172,10,268,38,74,10,59,14,10,,263,54,70
Washington,1198,11,240,39,86,,65,16,16,,264,62,91
Washington,1203,11,261,56,79,13,61,19,,,235,70,113
Washington,1133,15,228,44,65,10,39,13,,,224,55,149
Washington,1239,12,220,47,76,14,43,,,,256,73,209
Washington,1297,,245,50,79,13,46,20,,,241,68,224
Washington,1281,13,277,41,76,13,56,12,,11,252,48,221
Washington,1266,11,257,43,78,12,45,15,,13,233,57,208
Washington,1235,15,251,52,69,,49,14,,,260,63,188
Washington,1298,15,258,53,70,,51,20,,,240,64,218
Washington,1273,,270,45,87,10,46,14,,20,238,71,171
Washington,1198,,248,47,73,,43,12,11,11,230,57,176
Washington,1207,,282,26,72,10,51,19,,,253,59,152
Washington,1228,10,271,42,84,,52,17,,,255,56,149
Washington,1126,,243,45,72,17,48,11,,,252,64,95
Washington,1148,15,256,59,72,13,47,15,,13,263,51,87
Washington,1117,10,270,36,69,,53,15,,18,228,50,81
Washington,1123,11,254,42,68,,55,22,,,240,66,60
Washington,1074,,269,40,56,11,41,12,,12,231,59,42
Washington,1047,11,253,42,55,,68,16,,14,233,56,39
Washington,1074,,266,47,72,,41,18,,14,235,63,45
Washington,1055,10,243,50,64,,45,19,,17,261,55,36
Washington,1072,,259,52,63,12,47,12,,12,229,55,49
Washington,1059,,268,35,56,12,42,12,,,243,61,59
Washington,1086,,251,45,70,,49,17,,10,241,52,61
Washington,1112,11,254,38,73,,55,13,,,245,56,62
Washington,1094,,234,41,75,,55,15,,12,230,61,62
Washington,1059,,255,28,69,,50,11,,,222,62,74
Washington,1035,12,240,26,61,,42,14,13,16,211,62,51
Washington,1081,15,237,39,54,12,51,17,13,11,234,68,68
Washington,1116,,250,37,63,12,47,18,11,13,253,66,50
Washington,1104,10,273,40,67,,51,11,,10,229,65,58
Washington,1043,,263,41,65,,43,16,,13,218,55,42
Washington,1123,17,283,37,59,10,57,14,,18,238,63,47
Washington,1357,11,276,81,63,,53,16,11,25,376,62,47
Washington,1111,,262,44,70,12,53,24,14,11,232,66,36
Washington,1077,11,289,38,52,11,54,13,,11,249,47,25
Washington,1106,11,269,53,59,10,35,13,,14,243,65,35
Washington,1081,11,259,36,68,,38,17,10,19,232,63,49
Washington,1134,,289,34,79,,57,13,,18,238,60,80
Washington,1161,11,271,38,72,,61,18,,,234,53,115
Washington,1171,,263,37,66,13,37,16,,14,233,55,165
Washington,1278,,263,34,58,14,54,24,,19,244,59,198
Washington,1403,,287,49,73,,65,19,15,10,250,58,274
Washington,1337,11,259,38,81,10,41,16,,13,240,70,279
Washington,1364,10,237,42,76,12,46,14,14,17,234,73,309
Washington,1368,,251,41,68,11,56,16,12,16,232,66,282
Washington,1348,13,256,41,67,15,59,14,,21,247,69,254
Washington,1310,10,259,45,87,11,49,16,12,14,244,65,204
Washington,1327,10,280,41,60,15,54,13,,17,261,56,219
Washington,1223,13,241,57,81,19,52,11,10,10,231,49,166
Washington,1246,11,272,45,65,,56,16,,,266,58,162
Washington,1260,10,252,38,70,15,69,20,12,,251,71,159
Washington,1269,14,278,45,79,,49,19,,22,222,69,159
Washington,1220,15,249,46,75,,39,13,,14,288,65,139
Washington,1202,11,236,37,75,11,42,20,,13,260,66,150
Washington,1236,20,230,50,90,,45,20,11,16,235,65,130
Washington,1275,13,293,40,79,,73,17,,10,233,53,136
Washington,1235,21,257,45,75,13,69,16,14,11,268,69,95
Washington,1270,22,284,44,81,,49,20,,22,271,68,98
Washington,1310,16,256,57,89,17,58,13,13,20,269,73,133
Washington,1401,14,275,55,79,11,56,19,10,23,271,72,176
Washington,1490,21,268,60,96,,49,13,,13,299,77,267
Washington,1488,19,265,44,93,13,55,22,13,25,283,74,292
Washington,1460,11,264,46,89,12,56,18,,19,300,63,304
Washington,1424,12,259,44,80,14,69,25,15,22,277,69,281
Washington,1343,14,259,38,84,10,49,14,14,14,260,68,241
Washington,1265,21,267,47,73,,49,18,,20,260,65,183
Washington,1181,14,287,48,69,,33,16,10,14,235,66,151
Washington,1183,,287,45,59,,47,21,,18,229,70,102
Washington,1135,11,242,34,71,13,56,15,15,,252,66,57
Washington,1114,16,239,34,63,14,64,14,13,12,251,64,53
Washington,1095,14,257,37,76,,52,10,11,14,263,55,44
Washington,1081,15,239,51,56,,57,14,15,17,237,69,20
Washington,1112,14,269,46,51,11,55,12,13,12,280,58,24
Washington,1160,,242,39,83,,62,19,11,17,276,64,33
Washington,1084,,233,46,74,10,46,23,,16,248,60,29
Washington,1122,13,250,39,70,12,49,15,12,19,252,57,31
Washington,1134,10,243,37,67,,47,32,,10,263,51,27
Washington,1096,17,255,41,90,12,61,13,10,13,228,67,40
Washington,1106,11,262,36,56,18,65,15,,14,235,58,31
Washington,1090,22,247,44,72,10,60,21,,11,233,62,56
Washington,1136,14,274,37,65,13,61,15,10,16,228,53,51
Washington,1091,13,250,37,60,15,65,12,15,,216,70,58
Washington,1113,,259,37,65,17,55,24,,18,255,67,55
Washington,1110,,253,36,61,13,59,,15,15,254,55,61
Washington,1144,17,243,44,64,13,54,13,16,13,265,53,69
Washington,1200,10,284,50,67,10,62,18,14,17,231,81,65
Washington,1080,12,206,46,72,16,63,18,,10,235,60,64
Washington,1120,10,243,39,59,16,50,18,20,25,238,65,84
Washington,1175,11,260,47,74,,49,17,12,18,266,75,71
Washington,1084,13,227,43,64,,61,17,10,18,241,53,73
Washington,1158,13,265,38,62,11,56,18,,21,240,59,69
Washington,1129,10,247,28,65,10,43,17,13,17,255,54,61
Washington,1075,19,261,24,68,13,55,14,10,14,221,59,45
Washington,1122,,281,45,80,,52,19,16,19,222,67,58
Washington,1140,17,294,36,70,15,40,25,12,17,241,46,54
Washington,1091,16,254,26,61,,65,14,,16,244,55,39
Washington,1141,19,253,46,61,,47,20,17,19,244,77,49
Washington,1058,17,244,38,61,13,49,15,10,17,233,57,31
Washington,1098,14,260,42,59,,52,16,11,24,206,55,42
Washington,1098,11,253,51,69,10,45,19,,15,244,60,34
Washington,1016,12,247,41,65,10,53,19,,12,189,63,39
Washington,1093,12,280,36,71,11,55,18,13,13,214,66,34
Washington,1142,10,258,38,63,12,50,13,15,22,265,69,35
Washington,1186,16,271,55,69,17,44,12,12,24,240,72,37
Washington,1140,17,226,36,70,25,53,20,,18,252,58,38
Washington,1249,20,251,52,86,26,62,17,10,22,274,71,40
Washington,1357,19,251,51,75,33,74,33,,24,309,53,63
Washington,1370,12,266,45,80,52,81,21,14,27,319,62,66
Washington,1389,10,282,46,79,53,80,23,,34,283,80,72
Washington,1372,17,283,42,78,44,75,22,,38,277,77,65
Washington,1357,13,259,41,78,49,82,33,19,32,296,68,69
Washington,1363,21,299,42,72,33,58,17,12,42,297,81,51
Washington,1307,15,263,42,85,36,69,29,,38,282,61,57
Washington,1150,,263,34,65,10,50,24,10,45,213,65,38
Washington,1171,19,275,27,80,19,74,17,10,41,236,54,44
Washington,1217,21,266,39,61,17,75,14,16,45,244,65,39
Washington,1155,13,254,39,57,12,50,,,61,205,77,48
Washington,1188,15,274,39,62,16,44,19,11,66,267,56,42
Washington,1163,13,245,44,77,14,50,16,12,52,243,52,41
Washington,1208,18,244,35,70,11,58,13,11,71,271,53,38
Washington,1197,,289,37,60,13,52,23,10,75,245,56,29
Washington,1110,13,256,31,63,,41,19,10,61,241,71,35
Washington,1053,10,212,42,55,14,55,13,13,71,194,62,30
Washington,909,,210,33,61,,44,13,,64,188,43,26
West Virginia,436,,82,16,15,11,51,,11,,102,22,0
West Virginia,441,12,75,22,20,,39,,12,,111,20,0
West Virginia,477,,99,22,18,14,40,11,18,,114,20,0
West Virginia,392,,84,18,15,12,30,,14,,112,21,0
West Virginia,441,,90,22,12,,49,,12,,107,20,0
West Virginia,432,,97,24,19,14,29,,11,,116,14,0
West Virginia,442,,103,28,20,18,37,,,,101,10,0
West Virginia,422,,71,21,21,14,36,,10,13,109,23,0
West Virginia,409,,93,28,15,10,32,,15,10,96,18,0
West Virginia,431,,101,24,13,16,38,,10,11,101,13,0
West Virginia,423,,99,17,19,13,41,,,,99,17,0
West Virginia,425,,78,22,13,15,43,,15,13,103,25,0
West Virginia,440,,79,16,20,15,42,,11,,105,26,
West Virginia,415,,93,18,26,19,36,,,,91,14,
West Virginia,463,,106,27,27,14,36,,16,,92,12,
West Virginia,374,,75,20,11,,29,,,,92,15,11
West Virginia,400,,87,19,10,,41,,12,,76,17,16
West Virginia,419,,90,24,23,,24,,,,102,23,15
West Virginia,386,,79,14,15,,23,,13,,107,26,
West Virginia,420,,92,18,14,16,32,,,,85,13,14
West Virginia,368,,70,20,16,,24,,,,95,18,
West Virginia,353,,68,15,16,,28,,,,109,12,
West Virginia,352,,93,17,16,,20,,12,,84,15,
West Virginia,391,,88,17,17,,25,,11,12,89,12,
West Virginia,358,,82,17,18,,20,,10,,105,13,
West Virginia,410,,102,17,13,,27,,,,92,17,
West Virginia,379,,88,22,22,,29,,12,,79,18,
West Virginia,368,,93,16,19,,11,,,,101,16,
West Virginia,382,,88,10,10,12,26,,10,,89,13,
West Virginia,439,,104,23,20,15,34,,,,93,17,
West Virginia,425,,85,16,16,,28,,12,,102,13,17
West Virginia,438,,108,20,,,25,,,,104,13,22
West Virginia,415,,84,25,15,,23,,,,88,20,14
West Virginia,441,,86,22,26,,33,,11,10,80,17,31
West Virginia,398,,79,20,17,,30,,10,,98,12,32
West Virginia,399,,90,17,19,,25,,11,,78,18,28
West Virginia,400,,100,22,17,,26,,,11,90,14,23
West Virginia,419,,81,25,12,,25,,14,10,79,25,36
West Virginia,433,,90,14,15,,46,,13,,98,23,24
West Virginia,383,,79,21,22,,21,,,,82,12,23
West Virginia,427,,87,22,10,,22,,11,10,93,15,34
West Virginia,418,,101,18,16,,37,,,,82,18,21
West Virginia,427,12,90,15,13,,35,,,,86,16,28
West Virginia,441,,95,17,17,10,31,,11,,105,18,44
West Virginia,467,10,87,13,12,,28,,,,93,24,52
West Virginia,491,,105,26,21,,25,,16,,112,15,54
West Virginia,465,,78,22,15,,27,,12,,91,16,82
West Virginia,524,,90,29,18,,32,,14,13,99,15,87
West Virginia,581,,94,30,13,11,32,,,17,100,21,137
West Virginia,575,,93,21,17,,31,,,,110,11,161
West Virginia,629,11,98,25,25,,30,,13,,103,24,185
West Virginia,604,10,91,24,17,,33,,16,11,104,13,174
West Virginia,658,,73,26,19,10,40,,12,,120,18,199
West Virginia,640,,78,25,16,11,40,,10,11,103,23,213
West Virginia,620,,96,30,22,13,27,,17,,119,25,173
West Virginia,558,,92,27,18,,25,,10,10,103,14,139
West Virginia,557,,97,29,18,13,28,,19,10,108,12,116
